GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sales,com.sales.entidades,Produto,67,0,0,0,18,0,10,0,10,0
Sales,com.sales.entidades,Vendedor,20,0,0,0,9,0,5,0,5,0
Sales,com.sales.interfaces,VendaDAOImpl,106,0,4,0,35,0,7,0,5,0
Sales,com.sales.interfaces,App,56,0,2,0,14,0,3,0,2,0
Sales,com.sales.interfaces,ProdutoDAOException,12,0,0,0,6,0,3,0,3,0
Sales,com.sales.interfaces,ProdutoDAOImpl,147,0,6,0,47,0,9,0,6,0
Sales,com.sales.casosdeuso,CalculoLucroVendedor,7,0,0,0,3,0,2,0,2,0
Sales,com.sales.casosdeuso,CalculoLucroFactory,17,0,2,0,5,0,3,0,2,0
Sales,com.sales.casosdeuso,VendaDTO,56,0,0,0,15,0,8,0,8,0
Sales,com.sales.casosdeuso,CalculoLucroEmpresa,7,0,0,0,3,0,2,0,2,0
Sales,com.sales.casosdeuso,GereVenda,6,0,0,0,3,0,1,0,1,0
Sales,com.sales.casosdeuso,Fachada,54,0,2,0,17,0,4,0,3,0
